Pothole Severity Log
Pothole Severity: 4872.00, Level: Highly Severe
Pothole Severity: 285.00, Level: Slightly Severe
Pothole Severity: 483.50, Level: Slightly Severe
Pothole Severity: 114.00, Level: Slightly Severe
Pothole Severity: 4872.0, Level: Highly Severe
Pothole Severity: 779.00, Level: Slightly Severe
Pothole Severity: 549.00, Level: Slightly Severe
Pothole Severity: 773.50, Level: Slightly Severe
Pothole Severity: 151.50, Level: Slightly Severe
Pothole Severity: 779.0, Level: Slightly Severe
Pothole Severity: 1141.50, Level: Slightly Severe
Pothole Severity: 1141.50, Level: Slightly Severe
Pothole Severity: 1258.50, Level: Slightly Severe
Pothole Severity: 1258.50, Level: Slightly Severe
Pothole Severity: 115.00, Level: Slightly Severe
Pothole Severity: 115.00, Level: Slightly Severe
Pothole Severity: 189.50, Level: Slightly Severe
Pothole Severity: 189.50, Level: Slightly Severe
Pothole Severity: 2758.00, Level: Moderately Severe
Pothole Severity: 2353.00, Level: Moderately Severe
Pothole Severity: 167.00, Level: Slightly Severe
Pothole Severity: 283.00, Level: Slightly Severe
Pothole Severity: 2758.00, Level: Moderately Severe
Pothole Severity: 2353.00, Level: Moderately Severe
Pothole Severity: 167.00, Level: Slightly Severe
Pothole Severity: 283.00, Level: Slightly Severe
Pothole Severity: 2758.0, Level: Moderately Severe
Pothole Severity: 2758.0, Level: Moderately Severe
Pothole Severity: 11205.00, Level: Dangerously Severe
Pothole Severity: 426.50, Level: Slightly Severe
Pothole Severity: 649.50, Level: Slightly Severe
Pothole Severity: 11205.0, Level: Dangerously Severe
Pothole Severity: 1691.00, Level: Moderately Severe
Pothole Severity: 2031.00, Level: Moderately Severe
Pothole Severity: 1487.50, Level: Slightly Severe
Pothole Severity: 2177.50, Level: Moderately Severe
Pothole Severity: 3284.50, Level: Moderately Severe
Pothole Severity: 5246.00, Level: Highly Severe
Pothole Severity: 5246.0, Level: Highly Severe
Pothole Severity: 2466.00, Level: Moderately Severe
Pothole Severity: 1832.00, Level: Moderately Severe
Pothole Severity: 5411.50, Level: Highly Severe
Pothole Severity: 1808.50, Level: Moderately Severe
Pothole Severity: 366.50, Level: Slightly Severe
Pothole Severity: 131.00, Level: Slightly Severe
Pothole Severity: 110.00, Level: Slightly Severe
Pothole Severity: 343.00, Level: Slightly Severe
Pothole Severity: 5411.5, Level: Highly Severe
Pothole Severity: 7251.50, Level: Dangerously Severe
Pothole Severity: 3907.00, Level: Moderately Severe
Pothole Severity: 589.00, Level: Slightly Severe
Pothole Severity: 147.50, Level: Slightly Severe
Pothole Severity: 102.00, Level: Slightly Severe
Pothole Severity: 323.00, Level: Slightly Severe
Pothole Severity: 7251.5, Level: Dangerously Severe
Pothole Severity: 348.00, Level: Slightly Severe
